Incident ID,Reporter,Date of Occurance,Responsible Dirctorate,Region,District,Chiefdom,Community/Town/Village,Latitude,Longitude,Type of Incident,Cause of Incident,Dwelling Houses, Facility,School,Health Facility,Community Facility,Religious Center,Number of Facility,Shops/Business Center,Business Owners,Number of Households,Population Size,Response Status,Type of Response,Partners Intervention,Collaboration,Collaborating Partners,Date of Response,Male,Female,Boys,Girls,Persons with disability,Pregnant,Lactating Mothers,Death Cases,Injured cases,School Going Boys,School Going Girls
201111FRWU001,Volunteer,11/11/2020,R & R,Western Area,Western Urban,N/A,Susan's Bay,8.432676,-13.276372,Fire,Electrical Malfunction,22,None,0,0,0,0,0,0,0,138,358,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,11/09/2020,140,98,67,53,3,8,10,0,4,65,49
201111WSKA001,DSCOORD,11/11/2020,R & R,East,Kailahun,Mandu,Taway,8.2789,-10.573,Windstorm,Wind,44,1 Church,0,0,0,1,1,0,0,143,244,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,23/12/2020,81,78,44,41,0,4,2,0,0,43,21
201121FRMO002,DSCOORD,21/11/2020,R & R,South,Moyamba,Kori,Njala Mokonde,8.03704,-12.09562,Fire,Unknown,0,Dometary,1,0,0,0,1,0,0,88,88,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,19/05/2021,40,48,0,0,0,0,0,0,0,0,0
201121FRPL003,DSCOORD,21/11/2020,R & R,North West,Port Loko,Maforki,Port Loko Town/Bai bureh street,8.675273,-12.938353,Fire,Electrical Malfunction,16,None,0,0,0,0,0,16,16,16,16,yes,Cash Transfer,No,Government only,Government Only,20/05/2021,9,7,0,0,0,0,0,0,0,0,0
210130FRWU001,Volunteer,30/01/2021,R & R,Western Area,Western Urban,N/A,"Sulpit, Malama Thomas Street",8.432676,-13.276372,Fire,Electrical Malfunction,12,None,0,0,0,0,0,0,0,60,222,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,16/03/2021,69,83,32,38,4,5,1,0,11,31,29
210615HSWU001,Open Source,15/06/2021,R & R,Western Area,Western Urban,N/A,Tengbeh Town River Side,8.432676,-13.276372,Windstorm,Support,0,None,0,0,0,0,0,0,0,100,100,Yes,Food & Non-Food Items,No,Government only,Government Only,17/11/2021,0,100,0,0,0,0,0,0,0,0,0
210130FRWU002,Volunteer,30/01/2021,R & R,Western Area,Western Urban,N/A,George Brook Road,8.432676,-13.276372,Fire,Electrical Malfunction,3,None,0,0,0,0,0,0,0,13,58,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,16/03/2021,18,13,11,16,0,0,0,1,1,10,12
210209FRWU003,Open Source,09/02/2021,R & R,Western Area,Western Urban,N/A,Portee Wharf,8.432676,-13.276372,Fire,Unknown,13,None,0,0,0,0,0,0,0,35,153,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,18/03/2021,51,32,25,45,0,7,8,0,3,25,11
210212FRWU004,Open Source,12/02/2021,R & R,Western Area,Western Urban,N/A,Shell Kissy,8.432676,-13.276372,Fire,Unknown,3,None,0,0,0,0,0,0,0,18,89,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,18/03/2021,25,29,20,15,1,1,5,0,0,19,19
210215FRKM005,DSCOORD,15/02/2021,R & R,North West,Kambia,Samu,Yealiboya Isand,9.1024943,-12.8979529,Fire,Unattended Fire,60,None,0,0,0,0,0,0,0,81,533,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,22/04/2021,165,124,130,114,1,8,22,0,0,122,82
210215FRMO006,DSCOORD,15/02/2021,R & R,South,Moyamba,Ribie,Motorbong Village,8.03704,-12.09562,Fire,Unattended Fire,8,None,0,0,0,0,0,0,0,11,56,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,20/05/2021,15,13,13,15,0,4,1,0,0,12,14
210215WSKE001,DSCOORD,15/02/2021,R & R,East,Kenema,Dama ,Konia Dama,7.863851,-11.183396,Windstorm,Wind,30,None,0,0,0,0,0,0,0,64,257,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,21/05/2021,63,70,59,65,6,9,2,0,0,57,39
210222FRWU007,Open Source,22/02/2021,R & R,Western Area,Western Urban,N/A,Mount Auroel,8.432676,-13.276372,Fire,Electrical Malfunction,7,None,0,0,0,0,0,0,0,46,214,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,10/05/2021,61,48,49,56,3,3,4,0,8,44,32
210224FRPL008,DSCOORD,24/02/2021,R & R,North West,Port Loko,Kaffu bullom,Rotifunk Market,8.675273,-12.938353,Fire,Electrical Malfunction,9,None,0,0,0,0,0,9,17,17,132,Yes,Cash Transfer,No,Government only,Government Only,02/10/2021,29,52,22,29,0,3,2,0,12,19,8
210305FRWU009,Open Source,05/03/2021,R & R,Western Area,Western Urban,N/A,Belgium,8.432676,-13.276372,Fire,Unknown,19,None,0,0,0,0,0,19,88,91,190,Yes,Cash Transfer,No,Government only,Government Only,27/08/2021,124,41,15,10,0,0,1,0,0,12,3
210313FRWU010,Open Source,13/03/2021,R & R,Western Area,Western Urban,N/A,Binkolo Kissy Dock Yard,8.432676,-13.276372,Fire,Unknown,1,None,0,0,0,0,0,0,0,12,44,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,24/06/2021,13,10,9,12,0,2,4,0,11,7,1
210319FRWU011,Open Source,19/03/2021,R & R,Western Area,Western Urban,N/A,Leicester Road,8.432676,-13.276372,Fire,Electrical Malfunction,5,None,0,0,0,0,0,0,0,32,106,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,23/06/2021,29,31,22,24,0,2,1,0,12,18,4
210319FRTK0012,DSCOORD,19/03/2021,R & R,North,Tonkolili,Kholifa Mabang Chiefdom,Patifu Village,8.717867,-11.951925,Fire,Unattended Fire,15,None,0,0,0,0,0,0,0,15,108,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,15/10/2021,29,32,20,27,1,5,3,0,2,18,6
210324FRWU013,Volunteer,24/03/2021,R & R,Western Area,Western Urban,N/A,Susan's Bay,8.432676,-13.276372,Fire,Unknown,254,None,0,0,0,0,0,0,0,1597,7093,Yes,"Food,Non-Food Items & Shelter Kits",Yes,Government & Partners,"SLRCS,WFP,UNICEF,UNDP,Save the children,CARTIAS,GOAL,CONCERNS,VOS,Social Work SL, JAM,World Vision,Africell,Chinese Embassy, ",29/03/2021,2455,2847,843,948,149,95,402,0,254,354,455
210324FRWU014,Open Source,24/03/2021,R & R,Western Area,Western Urban,N/A,Coker Street,8.432676,-13.276372,Fire,Electrical Malfunction,1,None,0,0,0,0,0,0,0,13,46,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,24/06/2021,16,14,7,9,0,3,1,0,1,5,1
210329FRWU015,Open Source,29/03/2021,R & R,Western Area,Western Urban,N/A,Kissy Macauley,8.432676,-13.276372,Fire,Electrical Malfunction,3,None,0,0,0,0,0,0,0,23,75,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,24/06/2021,21,18,15,21,0,4,1,0,0,15,0
210406FRWU016,Open Source,06/04/2021,R & R,Western Area,Western Urban,N/A,Kingtom Police Barracks,8.432676,-13.276372,Fire,Electrical Malfunction,2,None,0,0,0,0,0,0,0,13,71,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,23/06/2021,27,30,5,9,0,1,2,0,0,5,1
210411WSTK002,DSCOORD,11/04/2021,R & R,North,Tonkolili,Malal Mara,Rochen Town,8.717867,-11.951925,Windstorm,Heavy Wind,25,"Hospital Quarter,School,Mosque",1,1,0,1,3,0,0,46,134,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,10/08/2021,45,39,22,28,2,3,2,0,0,18,5
210427WSKE003,DSCOORD,27/04/2021,R & R,East,Kenema,Lower Bambara,Kovaabu,7.863851,-11.183396,Windstorm,Wind,8,None,0,0,0,0,0,0,0,15,82,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,07/11/2021,26,24,21,11,0,2,0,0,0,20,0
210427WSKE004,DSCOORD,27/04/2021,R & R,East,Kenema,Lower Bambara,Kpetema,7.863851,-11.183396,Windstorm,Wind,4,None,0,0,0,0,0,0,0,9,40,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,07/12/2021,9,13,8,10,0,0,2,0,0,8,0
210428WSWR005,Open Source,28/04/2021,R & R,Western Area,Western rural,N/A,Regent,8.47616,-13.25223,Windstorm,Wind,0,Regent Rural community School,1,0,0,0,1,0,0,0,230,Yes, Shelter Kits Only,No,Government only,Government Only,23/06/2021,6,0,139,91,0,0,0,0,0,139,85
210501WSFA006,DSCOORD,01/05/2021,R & R,North,Falaba,Dembelia Musia,Dogoloya Town ,9.855216,-11.322184,Windstorm,Wind,19,None,0,0,0,0,0,0,0,19,135,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,30/06/2021,39,36,29,31,0,1,0,0,0,25,6
210502WSFA007,DSCOORD,02/05/2021,R & R,North,Falaba,Dembelia Musia,Musaia Town,9.855216,-11.322184,Windstorm,Wind,3,None,0,0,0,0,0,0,0,5,32,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,29/06/2021,12,8,7,5,0,0,0,0,0,6,0
210508WSFA008,DSCOORD,08/05/2021,R & R,North,Falaba,Sulima,Koindukura Town,9.855216,-11.322184,Windstorm,Wind,20,"1 School,1 Community center",1,0,1,0,2,0,0,38,287,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,29/06/2021,98,87,54,48,0,1,0,0,0,49,10
210508WSFA009,DSCOORD,08/05/2021,R & R,North,Falaba,Sulima,Gberia Fatumbu,9.855216,-11.322184,Windstorm,Wind,21,2 Schools,2,0,0,0,2,0,0,36,210,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,01/07/2021,58,60,47,45,0,16,7,0,0,44,13
210512WSKE010,DSCOORD,12/05/2021,R & R,East,Kenema,Dama ,Leleima,7.863851,-11.183396,Windstorm,Wind,6,1 Health center,0,1,0,0,1,0,0,15,62,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,14/07/2021,19,17,12,14,0,5,2,0,0,10,5
210512WSKE011,DSCOORD,12/05/2021,R & R,East,Kenema,Dama ,Giema,7.863851,-11.183396,Windstorm,Wind,12,None,0,0,0,0,0,0,0,30,157,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,14/06/2021,53,44,29,31,0,0,4,0,0,25,8
210516WSKE012,DSCOORD,16/05/2021,R & R,East,Kenema,Kandu Leppiam,Bundorbu,7.863851,-11.183396,Windstorm,Wind,8,None,0,0,0,0,0,0,0,15,89,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,14/07/2021,25,23,19,22,0,3,4,0,0,17,11
210516WSKE013,DSCOORD,16/05/2021,R & R,East,Kenema,Kandu Leppiam,Gangama,7.863851,-11.183396,Windstorm,Wind,5,1 School,1,0,0,0,1,0,0,15,86,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,14/07/2021,28,19,21,18,2,5,2,0,0,20,5
210517WSFA014,DSCOORD,17/05/2021,R & R,North,Falaba,Mongo,Mongo Bendugu,9.855216,-11.322184,Windstorm,Wind,7,3 Schools,3,0,0,0,3,0,0,7,64,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,03/07/2021,15,18,17,14,3,0,4,0,0,14,6
210518WSKN015,DSCOORD,18/05/2021,R & R,East,Kono,Kangama Kono,Kangama/Gorama,8.43565,-10.86604,Windstorm,Wind,40,2 Schoosl 2 churches,2,0,0,2,4,0,0,100,533,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,28/06/2021,155,160,102,116,3,1,1,0,0,95,23
210519FRWU017,Open Source,19/05/2021,R & R,Western Area,Western Urban,N/A,Tengbeh Town,8.432676,-13.276372,Fire,Electrical Malfunction,2,None,0,0,0,0,0,0,0,13,45,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,23/06/2021,10,8,12,15,1,0,0,0,0,10,5
210521WSKA016,DSCOORD,21/05/2021,R & R,East,Kailahun,Jawei,Nyaama Town,8.2789,-10.573,Windstorm,Wind,16,None,0,0,0,0,0,0,0,25,123,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,12/07/2021,22,34,28,39,3,4,3,0,0,25,9
210522WSKA017,DSCOORD,22/05/2021,R & R,East,Kailahun,Penguia,Sengema Village,8.2789,-10.573,Windstorm,Wind,20,None,0,0,0,0,0,0,0,35,165,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,16/07/2021,48,47,34,36,0,5,4,0,0,31,11
210522WSKA018,DSCOORD,22/05/2021,R & R,East,Kailahun,Penguia,Woroma Village,8.2789,-10.573,Windstorm,Wind,15,1 school,1,0,0,0,1,0,0,28,123,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,16/07/2021,19,24,37,43,2,2,3,0,0,36,6
210522WSKA019,DSCOORD,22/05/2021,R & R,South,Pujehun,Sorogbeima,Soluma massaquoi II,7.272644,-11.228923,Windstorm,Wind,37,None,0,0,0,0,0,0,0,99,218,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,17/07/2021,79,65,36,38,2,1,3,0,12,33,10
210524WSKA020,DSCOORD,24/05/2021,R & R,East,Kailahun,Jawei,Soniyeama II,8.2789,-10.573,Windstorm,Wind,35,Community school,1,0,0,0,1,0,0,35,153,yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,12/07/2021,33,43,38,39,3,7,10,0,0,37,12
210606WSKA021,DSCOORD,06/06/2021,R & R,East,Kailahun,Jawei,Soniyeama I ,8.2789,-10.573,Windstorm,Wind,7,None,0,0,0,0,0,0,0,12,126,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,23/10/2021,38,41,22,25,0,2,2,0,0,22,9
210606WSKM022,DSCOORD,06/06/2021,R & R,North West,Kambia,Samu,"Kamem village,Kasirie Section",9.1024943,-12.8979529,Windstorm,Wind,0,KDC Primary School,1,0,0,0,1,0,0,0,210,Yes, Shelter Kits Only,No,Government only,Government Only,08/10/2021,7,3,126,126,0,0,0,0,4,77,95
